region,bs_rep,theta,shape,scale,mean_gamma,alpha,omega
intron-enhancers,49,0.000480044355600042,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,50,0.000485758301888054,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,51,0.000485186080595458,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,52,0.000487047464477502,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,53,0.000499757898464348,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,54,0.000464704871147659,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,55,0.000501913076738638,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,56,0.000481698746056101,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,57,0.000479012089299694,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,58,0.000489589597912623,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,59,0.000486391193903202,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,60,0.000466963040708024,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,61,0.000476412982788668,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,62,0.00048555362310273,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,63,0.00048574636669108,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,64,0.000481609279084863,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,65,0.000494620965088243,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,66,0.000479585435188223,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,67,0.00049390492190196,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
